group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,TRAC,30.817326,3.540355,1.5356944440916008e-208,1.0353651942065572e-204,0.9060118543607113,0.24577373211963588
0,LDHB,30.704145,2.6959176,5.01066112665494e-207,2.5336407986930702e-203,0.8856900931414056,0.4232769830949285
0,RPS12,30.110056,0.92256445,3.5784828684478474e-199,1.4475678899445231e-195,0.9856054191363252,0.988296488946684
0,RPS25,29.224527,1.0402437,9.464366185299758e-188,2.734661006626756e-184,0.9796782387806944,0.97074122236671
0,RPS29,28.125872,1.1257228,4.729195008857872e-174,1.0628077583239923e-170,0.9762912785774767,0.9401820546163849
0,RPS27,28.053621,0.8862571,3.608224517977273e-173,6.63454082732803e-170,0.9847586790855207,0.9902470741222367
0,RPS6,27.471827,0.74403065,3.8121833840550603e-166,6.425435093824804e-163,0.983065198983912,0.9947984395318595
0,CD3D,27.171516,3.0775714,1.4102924326617983e-162,2.1941980571551949e-159,0.8492802709568162,0.22561768530559168
0,TPT1,26.612444,0.8575887,4.872591815301673e-156,7.03950300402083e-153,0.9737510584250635,0.9726918075422627
0,RPL31,26.261272,1.0074021,5.314208367677195e-152,7.16567856297593e-149,0.97883149872989,0.9525357607282184
0,RPS3,26.189417,0.7342141,3.5077285415087076e-151,4.4342073425346946e-148,0.983065198983912,0.9908972691807543
0,RPS14,25.88169,0.62644595,1.0706462555988524e-147,1.2030495092079105e-144,0.9796782387806944,0.994148244473342
0,RPL30,25.670485,0.88785875,2.497535994265161e-145,2.6586927905266918e-142,0.9771380186282811,0.9726918075422627
0,RPL32,25.54321,0.6236847,6.53249149304472e-144,6.291722520872501e-141,0.983065198983912,0.9947984395318595
0,RPS27A,25.13906,1.1906538,1.861533702080083e-139,1.711426393557807e-136,0.9762912785774767,0.9460338101430429
0,RPLP2,25.044928,0.73930913,1.9828001098302797e-138,1.7436571748446625e-135,0.9847586790855207,0.9850455136540962
0,RPL3,25.009024,0.71327287,4.8767911102659525e-138,4.1099157081766314e-135,0.9762912785774767,0.9934980494148244
0,RPL9,24.959124,0.990103,1.6999375114191731e-137,1.375317444238568e-134,0.9762912785774767,0.9551365409622887
0,RPS15A,24.947346,0.8152285,2.2818376860878423e-137,1.7750941938004885e-134,0.97883149872989,0.9759427828348505
0,EEF1A1,24.505566,0.5402379,1.288513933424599e-132,9.30767243480212e-130,0.983065198983912,0.9928478543563068
0,RPS18,24.402243,0.63958454,1.6189403161080198e-131,1.1291271321931314e-128,0.9839119390347163,0.9954486345903771
0,CD3E,24.160309,2.7855327,5.818178422591731e-129,3.922615892511345e-126,0.7442845046570703,0.21391417425227569
0,SARAF,24.108168,1.6188376,2.0523095250016302e-128,1.339032659763967e-125,0.9204064352243861,0.6853055916775033
0,LTB,23.891048,2.4572165,3.7946314847164466e-126,2.3257641336325714e-123,0.9127857747671465,0.4811443433029909
0,RPL13,23.737997,0.59868056,1.4617651665699058e-124,8.695783017365563e-122,0.9898391193903472,0.9947984395318595
0,RPL27A,23.533964,0.6792954,1.8324052778006641e-122,1.0589208328227496e-119,0.9771380186282811,0.9811443433029909
0,RPL23A,23.279783,0.73995674,7.105370462865592e-120,3.992033971719985e-117,0.9813717188823031,0.9830949284785435
0,IL7R,23.198858,3.1638944,4.675560888051798e-119,2.555889041127991e-116,0.655376799322608,0.1378413524057217
0,RPSA,22.954512,1.0922788,1.3282936333239948e-116,7.070017638845032e-114,0.9703640982218459,0.918075422626788
0,RPS28,22.902098,0.6842973,4.4278667412378125e-116,2.2389508177069e-113,0.9737510584250635,0.9772431729518856
0,RPL13A,22.755035,0.54868186,1.279399442791488e-114,6.161222173785866e-112,0.9856054191363252,0.9967490247074122
0,RPS20,22.717432,0.98253644,3.0131889252680186e-114,1.4173199814528127e-111,0.9703640982218459,0.9219765929778934
0,RPL21,22.605583,0.7363396,3.8190588338880323e-113,1.7165396438715408e-110,0.9779847586790855,0.9850455136540962
0,RPS13,22.572489,0.87498766,8.077032817127286e-113,3.4758737395577975e-110,0.9627434377646062,0.94148244473342
0,RPS3A,22.353422,0.9488207,1.1183466636254691e-110,4.71243325385182e-108,0.9754445385266723,0.9635890767230169
0,RPL35A,22.125288,0.68068695,1.804807656233919e-108,7.449804011221886e-106,0.9762912785774767,0.9720416124837451
0,RPS4X,21.572819,0.53040844,3.2337949603982026e-103,1.2824850366473344e-100,0.9737510584250635,0.9889466840052016
0,RPL11,21.500568,0.45983618,1.5379261082844095e-102,5.981941051184705e-100,0.9839119390347163,0.994148244473342
0,IL32,21.227364,2.4571667,5.337296512021839e-100,2.0368331934368627e-97,0.817104149026249,0.2919375812743823
0,MALAT1,21.108713,0.90465635,6.614814476386776e-99,2.47761551109998e-96,1.0,0.9960988296488946
0,RPL36,20.594439,0.8292439,3.078325450009047e-94,1.0923194833663682e-91,0.9729043183742591,0.9310793237971391
0,RPS10,20.458761,0.69318503,5.019781943533103e-93,1.692168493165009e-90,0.9669771380186283,0.9583875162548765
0,RPLP0,20.418718,0.9227109,1.1401723132972513e-92,3.7195363239919685e-90,0.9635901778154107,0.9161248374512354
0,NPM1,20.363249,1.2600336,3.54291402426313e-92,1.1374441119800963e-89,0.9017781541066893,0.7327698309492848
0,RPL14,20.174295,0.5715059,1.646932455111162e-90,5.124747051858209e-88,0.9779847586790855,0.9772431729518856
0,RPS23,20.120602,0.690925,4.87136859621413e-90,1.4928530488943483e-87,0.9762912785774767,0.9713914174252276
0,RPL5,20.06417,0.7498057,1.5180005081739096e-89,4.582548996764999e-87,0.9695173581710415,0.9486345903771132
0,ARHGAP15,19.951534,1.7511507,1.453612631583329e-88,4.323642512706531e-86,0.8264182895850973,0.49219765929778936
0,TRBC2,19.94271,2.141963,1.7340523376128036e-88,5.0830351566024006e-86,0.7341236240474175,0.3283485045513654
0,RPL17,19.795797,0.5270904,3.2359324300033694e-87,9.090273517951132e-85,0.9745977984758679,0.9830949284785435
0,RPS16,19.697475,0.6088254,2.2664018915038315e-86,6.194627656426554e-84,0.9822184589331076,0.9733420026007802
0,BCL11B,19.569536,2.8907714,2.81232150682325e-85,7.484475631185139e-83,0.5571549534292972,0.12483745123537061
0,JUNB,19.566751,1.1001502,2.970231508652252e-85,7.802065258961097e-83,0.903471634208298,0.8550065019505851
0,PCED1B-AS1,19.159988,2.0421019,7.989113159440408e-82,1.994911145220268e-79,0.7027942421676545,0.30299089726918077
0,RPL36A,19.063787,0.8866112,5.04853282315824e-81,1.245263718063397e-78,0.9652836579170194,0.8920676202860858
0,NOSIP,18.961056,2.2063854,3.578941046789028e-80,8.721405013536731e-78,0.6291278577476714,0.2503250975292588
0,GAS5,18.834126,1.5438954,3.966302926906067e-79,9.550290833285967e-77,0.8154106689246401,0.5351105331599479
