group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,is_ribo
5,MS4A4A,7.629615,5.7243958,2.3545574912807923e-14,1.413153703817368e-12,0.34615384615384615,0.007094994087504927,False
5,TCF7L2,16.057005,5.3457065,5.106207825945529e-58,3.331553531857234e-55,0.7472527472527473,0.046511627906976744,False
5,HES4,11.104037,5.338646,1.199018639164224e-28,1.6276074493782278e-26,0.510989010989011,0.01694915254237288,False
5,FCGR3A,18.07478,5.331126,5.035692337657927e-73,9.259264838315385e-70,0.8626373626373627,0.09854158454867955,False
5,MS4A7,15.326285,4.960835,5.10347560120469e-53,2.716392039735949e-50,0.7252747252747253,0.05951911706740244,False
5,PELATON,16.655176,4.939011,2.775226201812605e-62,2.2452690063144703e-59,0.7912087912087912,0.06148994875837603,False
5,LST1,19.63641,4.8739386,7.555521993010739e-86,5.09393292768784e-82,0.945054945054945,0.272763106030745,False
6,FCER1A,8.575717,9.858845,9.847119558797803e-18,3.319464003270739e-14,0.8333333333333334,0.003727171077152441,False
6,SERPINF1,4.274287,7.982322,1.9174955206365824e-05,0.00265638797262983,0.4166666666666667,0.0022363026462914647,False
6,FLT3,3.409043,7.010701,0.0006519116548186194,0.0426717318134673,0.3333333333333333,0.002609019754006709,False
6,ENHO,3.9760416,6.9518986,7.007188510643878e-05,0.007619752409477586,0.3888888888888889,0.003354453969437197,False
6,CLEC10A,6.768503,6.8466434,1.3012138434562334e-11,1.144276139032425e-08,0.6666666666666666,0.013790532985464033,False
6,CD1C,4.99463,5.5376883,5.894875950971833e-07,0.0001310217153674245,0.5,0.016772269847185987,False
6,CST3,8.747548,5.043917,2.180388397582574e-18,8.820107145901028e-15,1.0,0.285501304509877,False
6,LYZ,7.46352,4.940339,8.424117846651985e-14,1.3106631351260236e-10,1.0,0.3548266865449124,False
6,HLA-DRA,8.751822,4.7184896,2.0993481710910976e-18,8.820107145901028e-15,0.9722222222222222,0.4468878121505777,False
6,CACNA2D3,4.360737,4.6283383,1.2962506938185784e-05,0.0019277916568510712,0.4444444444444444,0.016772269847185987,False
